Date,Adj_Close,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
2015-01-01,27.61182975769043,31.107500076293945,33.400001525878906,26.157499313354492,27.84749984741211,14321762800
2015-04-01,27.94359016418457,31.357500076293945,33.6349983215332,30.774999618530273,31.204999923706055,11315577200
2015-07-01,24.675539016723633,27.575000762939453,33.24250030517578,23.0,31.725000381469727,15486588000
2015-10-01,23.654613494873047,26.315000534057617,30.954999923706055,26.204999923706055,27.267499923706055,11140271600
2016-01-01,24.59767723083496,27.247499465942383,27.604999542236328,23.09749984741211,25.65250015258789,11315040800
2016-04-01,21.69279670715332,23.899999618530273,28.09749984741211,22.36750030517578,27.19499969482422,10210211600
2016-07-01,25.80860710144043,28.262500762939453,29.045000076293945,23.592500686645508,23.872499465942383,9135694800
2016-10-01,26.584205627441406,28.954999923706055,29.672500610351562,26.020000457763672,28.177499771118164,8068964000
2017-01-01,33.14362716674805,35.915000915527344,36.125,28.690000534057617,28.950000762939453,6798876000
2017-04-01,33.37074279785156,36.005001068115234,39.162498474121094,35.01499938964844,35.9275016784668,6845856000
2017-07-01,35.858402252197266,38.529998779296875,41.23500061035156,35.602500915527344,36.220001220703125,7053820000
2017-10-01,39.528602600097656,42.307498931884766,44.29999923706055,38.1150016784668,38.564998626708984,6544554000
2018-01-01,39.3307991027832,41.94499969482422,45.875,37.560001373291016,42.540000915527344,9205205600
2018-04-01,43.57019805908203,46.27750015258789,48.54999923706055,40.157501220703125,41.65999984741211,7259020400
2018-07-01,53.338356018066406,56.435001373291016,57.41749954223633,45.85499954223633,45.95500183105469,7091929200
2018-10-01,37.401893615722656,39.435001373291016,58.36750030517578,36.647499084472656,56.98749923706055,10599989600
2019-01-01,45.19637680053711,47.48749923706055,49.42250061035156,35.5,38.72249984741211,7806437600
2019-04-01,47.294715881347656,49.47999954223633,53.82749938964844,42.567501068115234,47.90999984741211,7043172000
2019-07-01,53.725677490234375,55.99250030517578,56.60499954223633,48.14500045776367,50.79249954223633,6790001600
2019-10-01,70.70809173583984,73.4124984741211,73.49250030517578,53.782501220703125,56.26750183105469,6615331600
2020-01-01,61.41440963745117,63.5724983215332,81.9625015258789,53.15250015258789,74.05999755859375,12233722000
2020-04-01,88.3131332397461,91.19999694824219,93.09500122070312,59.224998474121094,61.625,9314610800
2020-07-01,112.44767761230469,115.80999755859375,137.97999572753906,89.1449966430664,91.27999877929688,10975589400
2020-10-01,129.0699462890625,132.69000244140625,138.7899932861328,107.31999969482422,117.63999938964844,7339933400
2021-01-01,119.02247619628906,122.1500015258789,145.08999633789062,116.20999908447266,133.52000427246094,6724535800
2021-04-01,133.65269470214844,136.9600067138672,137.41000366210938,122.25,123.66000366210938,5208382400
2021-07-01,138.31759643554688,141.5,157.25999450683594,135.75999450683594,136.60000610351562,5178413000
2021-10-01,173.83642578125,177.57000732421875,182.1300048828125,138.27000427246094,141.89999389648438,5700874900
2022-01-01,171.1881561279297,174.61000061035156,182.94000244140625,150.10000610351562,177.8300018310547,5916762400
2022-04-01,134.21145629882812,136.72000122070312,178.49000549316406,129.0399932861328,174.02999877929688,5837935700
2022-07-01,135.8636016845703,138.1999969482422,176.14999389648438,135.66000366210938,136.0399932861328,5042087800
2022-10-01,127.91085815429688,129.92999267578125,157.5,125.87000274658203,138.2100067138672,5268718600
2023-01-01,162.6067352294922,164.89999389648438,165.0,124.16999816894531,130.27999877929688,4271118000
2023-04-01,191.5644989013672,193.97000122070312,194.47999572753906,159.77999877929688,164.27000427246094,3542524400
2023-07-01,169.3206329345703,171.2100067138672,198.22999572753906,167.6199951171875,193.77999877929688,3656594800
2023-10-01,190.66246032714844,192.52999877929688,199.6199951171875,165.6699981689453,171.22000122070312,3335649700
2024-01-01,170.0403594970703,171.47999572753906,196.3800048828125,168.49000549316406,187.14999389648438,3782196100
2024-04-01,209.1182861328125,210.6199951171875,220.1999969482422,164.0800018310547,171.19000244140625,4300607500
2024-07-01,231.65249633789062,233.0,237.22999572753906,196.0,212.08999633789062,3507864500
2024-10-01,249.2599334716797,250.4199981689453,260.1000061035156,219.7100067138672,229.52000427246094,2800240400
2025-01-01,221.34425354003906,222.1300048828125,250.0,208.4199981689453,248.92999267578125,3177688200
2025-04-01,204.6690216064453,205.1699981689453,225.19000244140625,169.2100067138672,219.80999755859375,3903456100
2025-07-01,254.3413543701172,254.6300048828125,257.6000061035156,201.5,206.6699981689453,3563551100
2025-10-01,262.82000732421875,262.82000732421875,265.2900085449219,244.0,255.0399932861328,840290299
